Queue_ID,Project_Name,Interconnecting_Entity,County,State,Interconnection_Location,Transmission_Owner,Generation_Type,Capacity_(MW),Summer_Capacity_(MW),Winter_Capacity_(MW),Queue_Date,Status,Proposed_Completion_Date,Withdrawn_Date,Withdrawal_Comment,Actual_Completion_Date,Fuel,Technology,GIM_Study_Phase,Screening_Study_Started,Screening_Study_Complete,FIS_Requested,FIS_Approved,Economic_Study_Required,IA_Signed,Air_Permit,GHG_Permit,Water_Availability,Meets_Planning,Meets_All_Planning,CDR_Reporting_Zone,Approved_for_Energization,Approved_for_Synchronization,Comment
15INR0064b,Harald (BearKat Wind B),CIP,Glasscock,Texas,59903 Bearkat 345kV,,Wind - Wind Turbine,162.1,,,2013-11-27,Completed,2025-06-30,,,2020-05-12,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2013-11-27,2014-01-27,2014-04-15 00:00:00.000,2017-09-27,No,2018-05-30,Not Required,Not Required,Not Required,2018-05-30 00:00:00,2018-09-19 00:00:00,WEST,2020-02-10,2020-05-12,
16INR0049,Nazareth Solar,"TX Nazareth Solar, LLC",Castro,Texas,tap 345kV 23914 Tule Canyon - 23912 Ogallala C2,,Solar - Photovoltaic Solar,203.0,,,2014-06-19,Completed,2026-12-31,,,,Solar,Photovoltaic Solar,"SS Completed, FIS Started, IA",2014-06-19,2014-07-25,2014-07-01 00:00:00.000,,No,2023-06-07,Not Required,Not Required,Not Required,2024-03-22 00:00:00,,PANHANDLE,,,
16INR0081,Mesteno Wind,"Mesteno Windpower, LLC",Starr,Texas,80355 Del Sol 345kV,,Wind - Wind Turbine,201.6,,,2014-12-30,Completed,2025-06-30,,,2019-12-12,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2014-12-30,2015-03-09,2014-12-30 00:00:00.000,2018-01-29,No,2018-04-25,Not Required,Not Required,Not Required,2018-04-25 00:00:00,2019-03-28 00:00:00,SOUTH,2019-11-26,2019-12-12,
16INR0085,Priddy Wind ,ENGIE North America,Mills,Texas,tap 345kV 1444 Brown – 3422 Killeen,,Wind - Wind Turbine,302.4,,,2015-01-14,Completed,2025-12-30,,,2021-11-19,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-01-14,2015-02-10,2015-03-06 00:00:00.000,2021-04-30,No,2020-08-13,Not Required,Not Required,Not Required,2021-03-29 00:00:00,2021-04-30 00:00:00,NORTH,2021-10-13,2021-11-19,
16INR0104,Big Sampson Wind ,"Big Sampson Wind Project, LLC",Crockett,Texas,tap 345kV 76015 Cedar Canyon - 7053 Noelke,,Wind - Wind Turbine,265.4,,,2015-05-11,Completed,2025-10-04,,,2025-06-16,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-05-11,2015-06-17,2015-05-11 00:00:00.000,2024-10-30,Yes,2019-11-08,Not Required,Not Required,Not Required,2024-10-31 00:00:00,2024-11-04 00:00:00,WEST,2025-06-04,2025-06-16,
16INR0112,Loma Pinta Wind ,Enerverse,La Salle,Texas,5705 Fowlerton 138kV,,Wind - Wind Turbine,197.01,,,2015-05-18,Completed,2025-09-01,,,,Wind,Wind Turbine,"SS Completed, FIS Started, IA",2015-05-18,2015-07-02,2015-05-18 00:00:00.000,,No,2017-12-13,Not Required,Not Required,Not Required,,,SOUTH,,,
17INR0027b,Coyote Wind,Coyote Wind,Scurry,Texas,11305 Dermott 345kV,,Wind - Wind Turbine,242.6,,,2015-04-22,Completed,2025-01-31,,,2020-11-25,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2015-04-22,2015-05-22,2015-06-11 00:00:00.000,2020-01-31,No,2016-08-09,Not Required,Not Required,Not Required,2016-08-09 00:00:00,2020-01-28 00:00:00,WEST,2020-08-24,2020-11-25,
17INR0043,Vaquero 1 Wind,Enerverse,Zapata,Texas,tap 345kV 8905 N Edinb - 8455 Lon Hill,,Wind - Wind Turbine,400.0,,,2016-04-01,Active,2027-01-15,,,,Wind,Wind Turbine,"SS Completed, FIS Started, No IA",2016-04-01,2016-05-10,2016-04-01 00:00:00.000,,,,Not Required,Not Required,Not Required,,,SOUTH,,,
17INR0052,Horse13 CallD repower,Nextera,Taylor,Texas,6216 Bluff Creek 138kV,,Wind - Wind Turbine,44.0,,,2016-10-03,Completed,2025-06-30,,,2021-03-16,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-10-03,2016-10-17,2016-10-03 00:00:00.000,2018-04-10,No,2019-05-22,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,WEST,,2021-03-16,
17INR0053,HHGT repower Horse13+CallD,Nextera,Taylor,Texas,7046 Kendal 345kV,,Wind - Wind Turbine,44.0,,,2016-10-03,Completed,2025-06-30,,,2021-09-10,Wind,Wind Turbine,"SS Completed, FIS Completed, IA",2016-10-03,2016-10-17,2016-10-03 00:00:00.000,2017-07-06,No,2009-06-26,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,WEST,,2021-09-10,
